transaction_id,card_id,merchant_name,timestamp,amount,location,transaction_type,related_transaction_id
1,7,"Harris, Delacruz and Fuller",2025-04-01 01:00:12,312.76,"1116 Jones Circle, Troy, NY 15814",p2p_transfer,
2,25,"Gonzalez, Allison and Willis",2025-04-01 01:15:29,-325.71,"9935 Yang Knolls, Niagara Falls, NY 17579",refund,
3,26,"Bennett, Hess and Heath",2025-04-01 01:35:12,-355.44,"3370 Schmidt Knolls, Schenectady, NY 16722",refund,
4,1,Nguyen and Sons,2025-04-01 01:39:44,154.63,"6807 Williams Ports, Brooklyn, NY 17529",p2p_transfer,
5,38,"Miller, Rich and Thomas",2025-04-01 01:55:43,372.9,"8295 Andrew Rest, Queens, NY 14074",bill_payment,
6,53,Mendez and Sons,2025-04-01 02:08:22,29.17,"587 Singh Square, Ithaca, NY 12215",atm_withdrawal,
7,23,Weber-Robinson,2025-04-01 02:22:47,238.97,"5522 Mcdaniel Branch, Rochester, NY 14072",p2p_transfer,
8,23,"White, Mitchell and Ross",2025-04-01 03:02:56,382.3,"9173 Yvette Cliffs, Syracuse, NY 11768",p2p_transfer,
9,22,Phillips LLC,2025-04-01 03:17:10,222.45,"864 Matthews Skyway, Syracuse, NY 17232",purchase,
10,28,Shepard PLC,2025-04-01 03:18:22,123.23,"2104 Desiree Manor, Albany, NY 19621",wire_transfer,
11,57,"Bell, Forbes and Johnson",2025-04-01 03:26:12,270.87,"5631 Gary Plains, Schenectady, NY 14334",wire_transfer,
12,25,"Pope, Trujillo and Vazquez",2025-04-01 03:29:10,406.43,"4738 Natasha Harbor, Schenectady, NY 14772",bill_payment,
13,21,Martinez-Rodriguez,2025-04-01 03:36:43,283.58,"1289 Tiffany Lake, Albany, NY 13307",wire_transfer,
14,47,Welch and Sons,2025-04-01 03:41:24,480.33,"4982 Hamilton Grove, Troy, NY 15621",bill_payment,
15,30,Burgess-Gibson,2025-04-01 03:44:56,58.83,"788 Nelson Stravenue, Brooklyn, NY 10745",atm_withdrawal,
16,33,Castaneda PLC,2025-04-01 03:50:48,168.8,"7376 Todd Mews, Albany, NY 12201",p2p_transfer,
17,10,Mcgee Inc,2025-04-01 04:19:00,270.12,"8745 Andrews Stravenue, White Plains, NY 19358",purchase,
18,26,Gallagher-Taylor,2025-04-01 04:33:42,462.42,"7478 Trevor Plains, White Plains, NY 14942",p2p_transfer,
19,7,Perez-Huynh,2025-04-01 04:51:16,96.96,"7155 Watkins Prairie, Rochester, NY 19274",atm_withdrawal,
20,28,Lyons-Bond,2025-04-01 04:51:54,175.06,"3934 Phillip Heights, Queens, NY 19376",purchase,
