transaction_id,card_id,merchant_name,timestamp,amount,location,transaction_type,related_transaction_id,status,pending_balance
1,7,"Harris, Delacruz and Fuller",2025-04-01T01:00:12,312.76,"1116 Jones Circle, Troy, NY 15814",p2p_transfer,,approved,705.92
2,25,"Gonzalez, Allison and Willis",2025-04-01T01:15:29,-325.71,"9935 Yang Knolls, Niagara Falls, NY 17579",refund,,approved,21.45
3,26,"Bennett, Hess and Heath",2025-04-01T01:35:12,-355.44,"3370 Schmidt Knolls, Schenectady, NY 16722",refund,,approved,-281.53
4,1,Nguyen and Sons,2025-04-01T01:39:44,154.63,"6807 Williams Ports, Brooklyn, NY 17529",p2p_transfer,,approved,241.7
5,38,"Miller, Rich and Thomas",2025-04-01T01:55:43,372.9,"8295 Andrew Rest, Queens, NY 14074",bill_payment,,approved,524.57
6,53,Mendez and Sons,2025-04-01T02:08:22,29.17,"587 Singh Square, Ithaca, NY 12215",atm_withdrawal,,approved,2417.08
7,23,Weber-Robinson,2025-04-01T02:22:47,238.97,"5522 Mcdaniel Branch, Rochester, NY 14072",p2p_transfer,,approved,332.44
8,23,"White, Mitchell and Ross",2025-04-01T03:02:56,382.3,"9173 Yvette Cliffs, Syracuse, NY 11768",p2p_transfer,,approved,714.74
9,22,Phillips LLC,2025-04-01T03:17:10,222.45,"864 Matthews Skyway, Syracuse, NY 17232",purchase,,approved,3535.74
10,28,Shepard PLC,2025-04-01T03:18:22,123.23,"2104 Desiree Manor, Albany, NY 19621",wire_transfer,,approved,634.33
11,57,"Bell, Forbes and Johnson",2025-04-01T03:26:12,270.87,"5631 Gary Plains, Schenectady, NY 14334",wire_transfer,,approved,599.91
12,25,"Pope, Trujillo and Vazquez",2025-04-01T03:29:10,406.43,"4738 Natasha Harbor, Schenectady, NY 14772",bill_payment,,approved,427.88
13,21,Martinez-Rodriguez,2025-04-01T03:36:43,283.58,"1289 Tiffany Lake, Albany, NY 13307",wire_transfer,,approved,468.93
14,47,Welch and Sons,2025-04-01T03:41:24,480.33,"4982 Hamilton Grove, Troy, NY 15621",bill_payment,,approved,859.33
15,30,Burgess-Gibson,2025-04-01T03:44:56,58.83,"788 Nelson Stravenue, Brooklyn, NY 10745",atm_withdrawal,,approved,1668.62
16,33,Castaneda PLC,2025-04-01T03:50:48,168.8,"7376 Todd Mews, Albany, NY 12201",p2p_transfer,,approved,182.17
17,10,Mcgee Inc,2025-04-01T04:19:00,270.12,"8745 Andrews Stravenue, White Plains, NY 19358",purchase,,approved,475.13
18,26,Gallagher-Taylor,2025-04-01T04:33:42,462.42,"7478 Trevor Plains, White Plains, NY 14942",p2p_transfer,,approved,180.89
19,7,Perez-Huynh,2025-04-01T04:51:16,96.96,"7155 Watkins Prairie, Rochester, NY 19274",atm_withdrawal,,approved,802.88
20,28,Lyons-Bond,2025-04-01T04:51:54,175.06,"3934 Phillip Heights, Queens, NY 19376",purchase,,approved,809.39
21,20,"Peterson, Brown and Castaneda",2025-04-01T05:02:24,206.83,"2859 Walker Glen, Cheektowaga, NY 15770",wire_transfer,,approved,258.38
22,48,Taylor-Howard,2025-04-01T05:12:18,-252.01,"6380 Hurley Coves, Syracuse, NY 12669",refund,,approved,2242.08
23,2,Martin Inc,2025-04-01T05:12:25,109.41,"4391 Cunningham Street, Albany, NY 18647",p2p_transfer,,approved,540.31
24,24,"Davis, Johnson and Martinez",2025-04-01T05:33:18,150.44,"9171 Aaron Well, Staten Island, NY 14267",atm_withdrawal,,approved,2870.63
25,23,"Mitchell, Lowe and Figueroa",2025-04-01T05:46:21,-355.2,"8617 Mendoza Parkways, Buffalo, NY 19621",refund,,approved,359.54
26,4,"Franco, Schneider and Henry",2025-04-01T05:59:37,126.04,"592 Scott Hills, Schenectady, NY 18752",purchase,,approved,857.18
27,55,"Fleming, George and Novak",2025-04-01T06:00:21,-423.08,"7216 John Corners, Albany, NY 17476",refund,,approved,-175.13
28,38,Smith Inc,2025-04-01T06:01:49,345.16,"8577 Megan Forges, Syracuse, NY 14905",bill_payment,,approved,869.73
29,39,"Nelson, Mason and Allen",2025-04-01T06:05:01,-161.42,"1865 Henry Fields, White Plains, NY 15965",refund,,approved,4243.74
30,22,Hill LLC,2025-04-01T06:15:20,6772.05,"143 Wells Ford, Buffalo, NY 16979",bill_payment,,approved,10307.79
31,26,"Peck, Castro and Pope",2025-04-01T06:21:38,84.23,"231 Michael Crest, Rochester, NY 14779",bill_payment,,approved,265.12
32,22,"Johnson, Griffith and Matthews",2025-04-01T06:22:50,204.29,"9101 Moore Roads, Ithaca, NY 16518",wire_transfer,,approved,10512.08
33,16,Dunn PLC,2025-04-01T06:30:21,188.2,"2053 Dixon Mountains, Queens, NY 16246",p2p_transfer,,approved,362.53
34,13,"Cortez, Stout and Harrison",2025-04-01T06:33:49,-93.28,"4327 Mcclure Valley, Binghamton, NY 19606",refund,,approved,-68.03
35,47,"Khan, Duran and Barry",2025-04-01T06:49:52,309.95,"5598 Emma Court, Ithaca, NY 10435",wire_transfer,,approved,1169.28
36,52,Smith-Armstrong,2025-04-01T06:52:53,-388.77,"5006 Barnes Harbor, Bronx, NY 14283",refund,,approved,789.81
37,60,Evans Inc,2025-04-01T06:54:40,233.75,"305 Evans Radial, Buffalo, NY 15226",bill_payment,,approved,295.28
38,10,Jennings Inc,2025-04-01T06:55:21,-295.34,"7839 Holt Parkway, Albany, NY 14924",refund,,approved,179.79
39,30,Ortiz Group,2025-04-01T07:12:58,213.36,"1334 Willie Drive, Binghamton, NY 15139",bill_payment,,approved,1881.98
40,24,"Mcconnell, Ponce and Powell",2025-04-01T07:31:31,156.31,"9267 Contreras River, Troy, NY 16518",p2p_transfer,,approved,3026.94
41,58,Long-Foster,2025-04-01T07:33:16,-301.4,"5580 Olivia Curve, Rochester, NY 13542",refund,,approved,-298.51
42,52,Richardson-Davis,2025-04-01T07:40:13,439.47,"4089 Murray Canyon, Binghamton, NY 15624",wire_transfer,,approved,1229.28
43,38,"Wiley, Powell and Smith",2025-04-01T07:45:41,115.81,"8117 Gill Orchard, Erikaborough, IL 66194",atm_withdrawal,,approved,985.54
44,36,Choi PLC,2025-04-01T08:18:21,93.33,"8725 Robinson Oval, Niagara Falls, NY 18210",p2p_transfer,,approved,2885.78
45,13,Smith-Keith,2025-04-01T08:19:50,409.68,"168 Wong Port, Binghamton, NY 12806",wire_transfer,,approved,341.65
46,8,Moss-Williams,2025-04-01T08:32:24,201.7,"7669 Mcdaniel Lane, Syracuse, NY 12836",purchase,,approved,266.71
47,30,Hall-Hernandez,2025-04-01T08:35:46,196.34,"1369 Sarah Port, Brooklyn, NY 17949",atm_withdrawal,,approved,2078.32
48,40,Le PLC,2025-04-01T09:02:10,389.8,"6392 Adam Plains, Bronx, NY 14715",bill_payment,,approved,1872.67
49,49,"Mahoney, Ross and Clayton",2025-04-01T09:07:44,353.54,"5625 Burnett Islands, New York, NY 11336",wire_transfer,,approved,393.38
50,12,"Acosta, Fernandez and Sanchez",2025-04-01T09:11:32,168.35,"2055 Kenneth Island, Albany, NY 15685",atm_withdrawal,,approved,195.56
51,42,"Miller, Wells and Andrews",2025-04-01T09:13:55,-60.43,"1493 Brennan Union, New York, NY 19077",refund,,approved,-29.33
52,48,Palmer and Sons,2025-04-01T09:23:11,-63.56,"2067 Matthew Bridge, White Plains, NY 11469",refund,,approved,2178.52
53,33,Reese Group,2025-04-01T09:24:29,404.35,"7597 Donovan Curve, White Plains, NY 19978",wire_transfer,,approved,586.52
54,49,Phillips PLC,2025-04-01T09:33:42,-80.1,"1265 Kline Landing, Cheektowaga, NY 11966",refund,,approved,313.28
55,29,Jensen Group,2025-04-01T09:42:21,37.86,"5661 Lisa Way, Yonkers, NY 15322",atm_withdrawal,,approved,256.01
56,47,Smith Inc,2025-04-01T09:52:56,311.8,"2481 Key Forest, New York, NY 18077",bill_payment,,approved,1481.08
57,14,Aguilar-Taylor,2025-04-01T10:00:52,38.26,"2930 Elizabeth Village, Niagara Falls, NY 11594",atm_withdrawal,,approved,979.6
58,54,Herring-Vaughn,2025-04-01T10:06:17,-308.09,"8766 Barber Villages, Troy, NY 14152",refund,,approved,-229.37
59,26,Mcguire-Burns,2025-04-01T10:23:18,81.29,"6177 Garcia Isle, Utica, NY 19161",p2p_transfer,,approved,346.41
60,16,Valenzuela Inc,2025-04-01T10:36:18,190.79,"2245 Brown Camp, Yonkers, NY 13386",atm_withdrawal,,approved,553.32
61,45,Donovan-Phillips,2025-04-01T10:38:36,-177.37,"3926 Morris Extension, Queens, NY 13461",refund,,approved,116.25
62,36,Griffin-Lambert,2025-04-01T10:50:18,436.03,"2240 Nathaniel Ville, Brooklyn, NY 11276",bill_payment,,approved,3321.81
63,43,"May, Murphy and Davis",2025-04-01T10:58:32,99.49,"4061 James Knoll, Binghamton, NY 15521",purchase,,approved,355.54
64,30,"Collins, Wiley and Porter",2025-04-01T11:06:34,134.78,"9691 Nelson Common, Schenectady, NY 14905",wire_transfer,,approved,2213.1
65,43,Tate Ltd,2025-04-01T11:26:26,140.18,"456 Wood Rest, Yonkers, NY 19118",p2p_transfer,,approved,495.72
66,59,Richmond-Simon,2025-04-01T12:11:35,121.73,"2737 Erin Extension, Syracuse, NY 15036",atm_withdrawal,,approved,277.56
67,14,Schroeder and Sons,2025-04-01T13:09:52,33.55,"3986 Henderson Burgs, Queens, NY 14978",atm_withdrawal,,approved,1013.15
68,52,"Snyder, Porter and Donovan",2025-04-01T13:12:53,161.49,"3904 Jesse Ramp, Syracuse, NY 17619",purchase,,approved,1390.77
69,41,"Jackson, Martinez and Sanders",2025-04-01T13:13:52,162.92,"5025 Janet Greens, Queens, NY 11721",wire_transfer,,approved,175.73
70,38,Hodge-Perez,2025-04-01T13:18:01,64.09,"9566 Cobb Summit, Rochester, NY 13012",atm_withdrawal,,approved,1049.63
71,22,"Solomon, Hodge and Mckinney",2025-04-01T13:31:21,398.11,"9837 Tracey Plains, East Devin, IL 61309",p2p_transfer,,approved,10910.19
72,7,Ortega-Olson,2025-04-01T13:49:56,471.84,"371 Escobar Plains, Bronx, NY 16723",bill_payment,,approved,1274.72
73,22,Gibbs-Graham,2025-04-01T13:58:35,117.18,"5341 Dixon Knolls, White Plains, NY 19819",purchase,,approved,11027.37
74,3,Mitchell-Haley,2025-04-01T14:51:17,110.58,"2490 Sullivan Trail, Rochester, NY 19820",wire_transfer,,approved,1473.92
75,42,Coleman-Moore,2025-04-01T14:53:29,-170.55,"8674 Philip Ville, Troy, NY 12760",refund,,approved,-199.88
76,29,"Davis, Hays and Wilson",2025-04-01T15:04:39,1095.3,"3921 Fowler Green, White Plains, NY 11863",purchase,,approved,1351.31
77,35,Vaughn and Sons,2025-04-01T15:15:01,320.94,"1581 Keller Lodge, Yonkers, NY 14257",wire_transfer,,approved,437.04
79,44,"Romero, Wagner and Pineda",2025-04-01T16:01:32,-498.15,"5668 Christopher Centers, Queens, NY 13980",refund,,approved,-115.16
80,3,"Randall, Owen and Vega",2025-04-01T16:01:50,119.68,"8173 Bryan Common, Schenectady, NY 15179",atm_withdrawal,,approved,1593.6
